Name,Country,Div Rank,Gender Rank,Overall Rank,Swim,Bike,Run,Finish,Points,Distance,Race_City,Race_Country,Race_Region,Gender,Race_Year,Race_Date,Race_Name,Age_Group
"Kim, Boo-Gon",KOR,---,---,---,01:25:56,---,---,DNF,---,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"Kim, Hyun-Jin",KOR,---,---,---,01:11:23,06:44:57,04:23:35,DNF,---,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"Kim, Jihyun",KOR,---,---,---,---,---,---,DNS,---,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"Kim, Sang-Hun",KOR,---,---,---,---,---,---,DNS,---,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"Lee, Ho-Min",KOR,---,---,---,---,---,---,DNS,---,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"Lee, Ju-Sung",KOR,---,---,---,---,---,---,DNS,---,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"Lee, Kyu",KOR,---,---,---,---,---,---,DNS,---,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"Lee, Sang-Dal",KOR,---,---,---,01:11:41,---,---,DNF,---,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"Lee, Sejun",KOR,---,---,---,01:38:18,06:35:01,---,DNF,---,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"Leong, Wai Kong",SGP,---,---,---,01:49:40,---,---,DNF,---,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"Magdaluyo, Raymund",PHL,---,---,---,---,---,---,DNS,---,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"Mahaworamakorn, Chartchai",THA,---,---,---,02:35:20,---,---,DNF,---,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"Murugasan, Kannan",MYS,---,---,---,01:36:50,07:10:03,---,DNF,---,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"Pang, Lei",CHN,---,---,---,---,---,---,DNS,---,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"Park, Geon-Su",KOR,---,---,---,---,---,---,DNS,---,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"Park, In-Jae",KOR,---,---,---,01:33:23,06:53:21,03:10:43,DNF,---,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"Park, Ji-Hoon",KOR,---,---,---,---,---,---,DNS,---,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"Pongwattanasuk, Krit",THA,---,---,---,01:51:42,---,---,DNF,---,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"Song, Younsuk",KOR,---,---,---,01:38:58,---,---,DNF,---,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"Sorakrit, Tanadamrongsak",THA,---,---,---,---,---,---,DNS,---,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"Sukkarnchanon, Thanakrit",THA,---,---,---,---,---,---,DNS,---,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"Sun, Chongtao",CHN,---,---,---,---,---,---,DNS,---,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"Tanaka, Tomofusa",JPN,---,---,---,01:47:01,08:18:53,---,DNF,---,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"Torrescortes Jr, Edwin",USA,---,---,---,01:36:00,---,---,DNF,---,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"Trisiricharoen, Bunthit",THA,---,---,---,01:51:17,08:33:58,---,DNF,---,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"Umeoka, Hitoshi",JPN,---,---,---,---,---,---,DNS,---,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"Woo, Tae-Gyun",KOR,---,---,---,01:52:13,08:08:48,---,DNF,---,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"Yoo, Jeongho",KOR,---,---,---,---,---,---,DNS,---,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"Yu, Harley Keith",PHL,---,---,---,---,---,---,DNS,---,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"Zhao, Lingqi",CHN,---,---,---,01:35:32,08:33:32,---,DNF,---,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
